model_type,feature_name,mean_abs_shap,rank_position
logistic_regression,ca,0.914312,1
logistic_regression,cp,0.72874,2
logistic_regression,thal,0.590253,3
logistic_regression,sex,0.570992,4
logistic_regression,slope,0.452127,5
logistic_regression,exang,0.353811,6
logistic_regression,oldpeak,0.327327,7
logistic_regression,thalach,0.306308,8
logistic_regression,trestbps,0.279264,9
logistic_regression,restecg,0.220262,10
logistic_regression,chol,0.159256,11
logistic_regression,fbs,0.088015,12
logistic_regression,age,0.087112,13
random_forest,thal,0.11198,1
random_forest,cp,0.104651,2
random_forest,ca,0.084019,3
random_forest,slope,0.049247,4
random_forest,oldpeak,0.043424,5
random_forest,sex,0.039959,6
random_forest,thalach,0.038793,7
random_forest,exang,0.034802,8
random_forest,age,0.023961,9
random_forest,chol,0.018322,10
random_forest,restecg,0.017052,11
random_forest,trestbps,0.010976,12
random_forest,fbs,0.001646,13
